station_name,place_name,bar,dog_park,restaurant,distance,place_latitude,place_longitude,station_latitude,station_longitude,slots,free_bikes,empty_slots,place_rating
Riddrie South,Anvil Inn,1.0,0.0,0.0,463.56873197215214,55.8696326,-4.1872942,55.867405,-4.192788,8,1,7,0.0
Riddrie South,Fine Dine,1.0,0.0,0.0,314.7041126671916,55.868165,-4.188525,55.867405,-4.192788,8,1,7,0.0
Riddrie South,Mum's Lounge Bar,0.0,0.0,1.0,915.5890692168348,55.8704954719023,-4.20639038085938,55.867405,-4.192788,8,1,7,0.0
Shakespeare Street (Maryhill) - ELECTRIC,Munns Vaults,1.0,0.0,0.0,983.410379651954,55.8807289,-4.273994,55.886934,-4.285022,4,2,4,4.0
Burrell Collection,old stag inn,1.0,0.0,0.0,940.3636517494632,55.8256832,-4.2938402,55.829914,-4.306877,6,6,0,2.0
Maryland Drive,Quo Vadis,1.0,0.0,0.0,797.9788430301354,55.8456073,-4.3454684,55.846552,-4.332797,10,9,0,3.0
Maryland Drive,The Parkway Bar & Lounge,1.0,0.0,0.0,172.45366990679776,55.8457946777344,-4.33563899993896,55.846552,-4.332797,10,9,0,0.0
Emirates Arena,London Road Tavern,1.0,0.0,0.0,409.3085023044154,55.8479447,-4.2022663,55.846362,-4.208322,12,5,7,0.0
Paisley Road Toll - ELECTRIC ,Cast Iron Grill,0.0,0.0,1.0,945.008068396074,55.8601159869878,-4.26906615833942,55.85378,-4.279158,10,7,3,4.3
Bellgrove Railway Station (North) - ELECTRIC ,Saint Luke's And The Winged Ox,1.0,0.0,0.0,748.0904609102405,55.8547244,-4.2348558,55.858123,-4.224511,6,6,1,4.1
Knightswood Park,Lincoln Inn,1.0,0.0,0.0,553.8149845175512,55.8999377,-4.349245,55.895974,-4.354877,10,1,9,2.0
Knightswood Park,New Dragon Inn,1.0,0.0,0.0,818.5690029113364,55.8966331,-4.3419716,55.895974,-4.354877,10,1,9,0.0
Fullarton,Kimberley,1.0,0.0,0.0,678.1305976192643,55.8432733,-4.1703134,55.837175,-4.170209,12,6,6,0.0
Fullarton,Elders Bar,1.0,0.0,0.0,427.6824795817413,55.8406317,-4.1711664,55.837175,-4.170209,12,6,6,0.0
Bridgeton,Treble Two Bar,1.0,0.0,0.0,391.7692014604533,55.852221,-4.229089,55.848939,-4.226823,8,7,0,4.0
